Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2015-01-31,15.8306,15.8306,14.6355,15.0057,2014498.891725
2015-02-28,15.2369,16.4873,14.727,16.3483,1500351.2140541
2015-03-31,16.3483,18.3398,16.2007,18.2292,3948852.2509268
2015-04-30,18.2379,20.0818,18.0708,19.1646,5982963.1798869
2015-05-31,19.22,23.9814,18.8033,22.4523,11974277.404653
2015-06-30,22.2307,23.889,18.2107,22.0267,11013729.167491
2015-07-31,22.1287,24.9441,21.8878,24.5458,4848405.8479589
2015-08-31,24.7323,26.0098,20.3879,22.5085,8779488.5823376
2015-09-30,22.5085,25.1025,22.0364,24.9441,6543196.5202405
2015-10-31,24.9723,25.4726,23.926,24.6381,4759847.5100861
2015-11-30,24.9626,25.1667,19.7574,20.925,5294773.4685333
2015-12-31,21.0261,22.1841,20.3965,20.517,3706471.2278943
2016-01-31,20.517,21.7683,18.6275,21.3874,4545876.3032343
2016-02-29,21.5915,21.9343,19.2287,21.3039,3465974.9285367
2016-03-31,21.1747,24.1299,21.063,23.8046,6487710.9140303
2016-04-30,23.7131,24.2592,23.1848,23.5734,3728768.8162315
2016-05-31,23.5462,26.0846,22.1666,24.8616,4343230.9372317
2016-06-30,24.8616,25.7961,22.6941,25.3793,5269066.7022544
2016-07-31,25.5465,32.2711,25.0092,32.2332,5605998.8874278
2016-08-31,32.2332,39.7467,29.4635,39.3668,8659863.6987347
2016-09-30,39.4127,41.2196,35.4294,36.9216,6795764.9327925
2016-10-31,37.6532,38.2556,35.4761,36.9401,3255424.2223795
2016-11-30,36.9488,46.2576,35.4954,44.1933,5288222.741353
2016-12-31,44.5169,50.4818,44.1457,48.3513,6313139.7989882
2017-01-31,48.3513,56.0397,47.61,54.3251,3894246.7314134
2017-02-28,54.5572,72.0277,53.372,65.2563,5415437.9867137
2017-03-31,65.7654,71.6934,63.5523,68.7293,4842725.9434051
2017-04-30,69.3687,69.3687,57.6233,62.7916,5140514.3427192
2017-05-31,63.4222,74.234,59.745,74.1785,5750609.9984934
2017-06-30,74.1495,81.6308,72.1763,80.8594,4624886.4724515
2017-07-31,80.8594,83.1717,73.3226,81.2928,3023819.3720134
2017-08-31,81.5735,82.6918,75.2209,78.3782,2764517.0095537
2017-09-30,79.0651,109.955,76.4994,109.254,9428716.7012182
2017-10-31,109.254,116.532,103.61,113.334,6726668.3483447
2017-11-30,114.141,120.291,89.4873,95.393,18872950.720514
2017-12-31,96.2334,97.2758,82.7957,91.1593,9169015.9837272
2018-01-31,91.8179,115.968,91.3943,109.02,6031521.3200503
2018-02-28,109.11,110.333,95.6661,100.559,4104013.0796022
2018-03-31,99.4325,109.02,93.6502,102.814,5582332.2753399
2018-04-30,102.347,119.727,101.22,117.279,5293214.0166668
2018-05-31,117.279,139.934,115.588,138.34,7366178.4572776
2018-06-30,138.34,162.114,131.949,152.058,8344563.118164
2018-07-31,150.086,207.697,149.611,185.614,7318629.0714569
2018-08-31,183.068,209.008,174.053,193.6,4699337.6896447
2018-09-30,193.979,196.222,157.693,176.025,7463455.3148261
2018-10-31,177.531,182.69,126.878,148.775,9757219.6115836
2018-11-30,155.061,160.142,116.822,133.638,8582923.5346022
2018-12-31,139.838,147.552,127.247,136.835,5863408.2914834
2019-01-31,136.65,189.276,133.542,178.562,8458706.7600581
2019-02-28,178.562,183.263,162.959,178.648,5271143.9127273
2019-03-31,180.436,192.279,165.873,187.964,4937452.0935444
2019-04-30,188.897,207.229,184.292,201.965,5980079.9952811
2019-05-31,202.052,211.358,189.937,196.222,6373669.1769117
2019-06-30,197.077,220.024,186.4,203.306,9180308.8856591
2019-07-31,206.141,218.227,198.019,217.187,5216303.7034281
2019-08-31,217.004,245.332,199.816,238.91,7203472.5578556
2019-09-30,238.91,247.119,223.23,229.847,4733133.0188058
2019-10-31,230.507,242.68,217.187,238.056,4313140.206927
2019-11-30,242.495,254.201,239.095,247.877,4196735.1024913
2019-12-31,249.294,269.123,238.338,263.926,4010374.9430753
2020-01-31,266.287,276.39,229.467,265.918,9930883.8770585
2020-02-29,264.966,317.281,247.031,262.984,8400859.8452131
2020-03-31,271.863,289.807,193.765,273,14300308.458941
2020-04-30,267.705,353.168,261.098,337.682,7652131.4918654
2020-05-31,331.444,394.427,329.181,381.302,7024043.9818513
2020-06-30,382.438,393.3,332.581,372.899,7537111.8806391
2020-07-31,373.472,387.918,331.543,379.602,8472029.5227692
2020-08-31,377.717,436.26,377.154,414.071,6991961.4763905
2020-09-30,414.071,425.875,363.834,395.097,9530572.0682729
