Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2015-01-31,64.2648,68.2634,61.9966,64.8007,49185.278954616
2015-02-28,64.1968,68.2058,63.3588,68.0947,21855.487882956
2015-03-31,68.2251,72.1881,63.101,68.7235,64229.181505589
2015-04-30,67.8578,69.642,65.2818,66.0575,87400.045974093
2015-05-31,66.2521,70.4549,64.1219,69.2421,42530.161892128
2015-06-30,69.9812,70.4894,66.3183,68.0276,14723.664159408
2015-07-31,67.8742,71.1671,66.881,69.3619,24641.66620175
2015-08-31,69.6544,70.7356,56.0999,65.4448,44133.440093546
2015-09-30,64.028,66.0565,61.8623,63.564,63929.805549957
2015-10-31,64.8266,71.8689,62.7051,70.727,45518.705839468
2015-11-30,70.3494,74.7919,69.7311,74.6786,27704.27179665
2015-12-31,74.5215,76.2567,68.7495,71.0636,41532.937454551
2016-01-31,73.6645,73.6645,65.9779,69.1232,27900.378694416
2016-02-29,69.3332,69.3332,62.3983,68.5242,12700.007873949
2016-03-31,68.62,70.1979,66.7315,68.4647,47586.173240385
2016-04-30,68.0831,72.7883,67.0785,69.9209,39015.884559287
2016-05-31,70.1979,74.0786,69.4175,73.5955,34469.959769581
2016-06-30,73.7326,73.8724,69.3342,73.6625,14752.871569714
2016-07-31,73.6625,77.3112,73.6625,75.7237,104928.66464463
2016-08-31,78.0197,79.5986,73.3194,76.2663,14533.815992422
2016-09-30,76.2663,76.4589,72.3473,74.8982,26880.205577314
2016-10-31,74.4084,76.6948,73.6347,75.6258,8281.3439434319
2016-11-30,76.5903,83.7188,71.9178,83.366,79763.351300978
2016-12-31,82.9385,87.01,81.8333,84.0123,82086.383542069
2017-01-31,88.4248,88.4248,82.0498,82.0498,75535.578659243
2017-02-28,82.7832,87.3704,81.2264,86.6658,71256.693049474
2017-03-31,87.3704,88.5141,81.906,85.0994,127149.24515641
2017-04-30,85.0639,86.5766,83.3412,83.9231,60544.875319898
2017-05-31,83.9585,84.737,80.2974,81.3587,35206.403758001
2017-06-30,81.6501,84.9402,81.6233,81.9338,31685.86769438
2017-07-31,82.1007,83.1274,80.9532,80.9532,33208.825517458
2017-08-31,81.5091,83.833,77.755,80.3464,11202.084973991
2017-09-30,80.9187,84.4589,79.0599,83.8771,10850.552928527
2017-10-31,84.5097,86.245,83.0909,85.9074,26625.683858937
2017-11-30,85.8519,87.2104,83.4121,85.5757,20017.507277297
2017-12-31,85.6458,88.2332,85.2624,85.4973,12696.878508559
2018-01-31,85.4426,88.9455,84.8127,86.7934,14447.236883302
2018-02-28,86.802,87.0186,78.9322,86.9199,20562.016855137
2018-03-31,86.0283,87.5583,81.0039,82.3806,31013.054135555
2018-04-30,81.0414,86.4319,80.7613,86.0733,14840.49380063
2018-05-31,80.9416,94.5394,79.679,92.9978,49155.028422514
2018-06-30,92.9153,97.2079,91.3853,95.2526,37381.312703971
2018-07-31,94.5201,98.1571,93.828,95.148,14316.846658723
2018-08-31,96.0291,100.439,94.8892,100.439,13576.230183117
2018-09-30,100.16,100.439,98.3009,100.276,29663.254530718
2018-10-31,100.937,101.867,91.7966,96.9778,34218.567416594
2018-11-30,97.2467,99.078,92.7149,97.1799,38093.764891068
2018-12-31,98.1571,99.1155,84.7398,87.7089,31436.561584986
2019-01-31,86.7377,102.48,85.7484,94.3974,24382.971996186
2019-02-28,94.3974,100.745,94.2143,98.8764,20298.10704059
2019-03-31,99.4229,102.644,96.3166,101.474,36767.957087553
2019-04-30,102.117,106.353,102.058,105.08,54146.36621938
2019-05-31,105.261,107.226,96.2209,99.8725,54106.727591109
2019-06-30,98.8951,105.395,98.2432,103.075,39525.971117839
2019-07-31,105.222,109.862,104.475,109.421,25485.551735222
2019-08-31,109.201,111.07,102.48,110.419,39449.823226685
2019-09-30,111.07,113.64,108.674,112.834,23211.546218572
2019-10-31,113.544,113.822,106.439,109.7,37841.329416284
2019-11-30,110.515,121.175,110.515,116.976,17902.056273734
2019-12-31,117.1,121.184,112.537,116.421,52071.596965887
2020-01-31,117.014,122.584,116.544,119.88,48093.130433547
2020-02-29,119.929,129.592,107.303,108.721,119350.86660482
2020-03-31,107.867,116.544,89.5024,103.536,194039.4303652
2020-04-30,100.124,118.395,98.2051,115.959,110145.31674957
2020-05-31,116.889,119.803,111.166,115.404,68219.122377693
2020-06-30,116.669,122.143,109.279,116.544,82517.192844076
2020-07-31,117.561,122.431,115.365,116.411,69060.921667572
2020-08-31,117.724,125.672,117.264,124.06,41419.237178719
2020-09-30,123.503,129.207,118.653,125.689,69920.454027993
2020-10-31,125.431,131.672,122.431,124.234,45884.841590085
2020-11-30,125.278,133.618,125.182,130.886,56966.967557463
2020-12-31,131.844,136.245,128.423,135.488,62661.369445257
2021-01-31,137.376,142.122,132.133,135.823,75163.184177847
2021-02-28,135.68,143.616,134.711,138.488,67303.261440253
2021-03-31,140.127,153.951,139.179,152.848,68107.508345453
2021-04-30,153.128,156.769,151.412,153.683,88955.340572866
2021-05-31,154.008,156.194,143.061,150.175,91513.075218199
2021-06-30,150.175,159.742,149.321,159.617,48872.342415628
2021-07-31,159.742,167.861,158.811,165.176,60144.316549993
2021-08-31,165.973,173.278,163.586,169.674,73927.084848842
2021-09-30,169.385,171.677,166.625,168.897,56465.225973285
2021-10-31,170.709,178.561,165.322,178.522,63930.848671754
2021-11-30,179.308,195.471,177.304,187.323,122681.55450145
2021-12-31,184.897,192.69,178.79,190.927,136589.4974159
2022-01-31,192.644,194.56,167.766,179.71,186411.08066646
2022-02-28,180.612,182.05,153.387,178.752,117050.78304325
2022-03-31,180.592,193.553,174.687,188.817,96135.147899058
2022-04-30,188.223,191.637,180.228,184.945,36838.889369724
2022-05-31,185.002,186.46,163.451,174.477,70621.431875327
2022-06-30,175.454,177.352,160.864,166.424,31493.933283801
2022-07-31,170.431,188.66,167.19,188.583,34475.550903591
2022-08-31,189.066,197.722,185.681,185.7,42030.254105999
2022-09-30,184.54,192.431,175.062,179.878,39697.480389288
2022-10-31,179.492,185.411,174.579,184.192,24469.307283793
2022-11-30,184.192,184.192,175.527,178.892,33719.747740217
2022-12-31,179.878,182.904,166.277,168.351,69811.283804614
2023-01-31,170.17,176.938,169.348,176.058,64996.462539973
2023-02-28,176.841,186.328,176.058,177.897,40403.869616302
2023-03-31,177.897,180.949,169.211,177.036,49100.327394998
2023-04-30,175.862,186.817,170.033,173.358,48517.564529508
2023-05-31,173.495,178.992,169.994,177.525,40783.176674367
2023-06-30,177.623,183.785,176.371,183.491,30425.333533529
2023-07-31,183.491,185.741,178.503,185.545,30778.058425799
2023-08-31,185.839,187.541,180.949,187.541,35769.37124917
2023-09-30,187.541,198.359,186.915,191.903,37367.368369803
2023-10-31,191.884,192.001,177.036,178.503,54454.58902056
2023-11-30,182.181,187.541,180.186,184.078,36685.433578081
2023-12-31,184.078,192.45,183.022,190.829,43566.309022064
2024-01-31,191.719,203.726,190.533,200.613,53365.584293699
2024-02-29,200.119,207.975,198.34,207.086,49731.851251136
2024-03-31,207.432,215.239,203.923,214.695,42514.980167995
2024-04-30,216.375,216.375,205.455,210.495,58102.288379534
2024-05-31,210.446,215.436,208.519,210.742,34889.301468816
2024-06-30,213.114,228.827,211.582,227.345,39722.136058424
2024-07-31,227.345,228.283,218.846,225.17,52160.411346416
2024-08-31,225.813,227.295,201.601,221.86,74814.829435219
2024-09-30,222.354,227.295,215.535,226.801,39153.448236112
2024-10-31,227.295,244.046,226.307,236.585,61109.655297523
2024-11-30,237.029,258.919,234.707,253.484,87542.508134566
2024-12-31,255.114,257.65,246.2,254.7,92911.974217515
2025-01-31,257,257,245.15,255,121213
2025-02-28,253.8,254.6,240.1,242.25,85582
2025-03-31,242.3,246.9,215.75,220,150534
2025-04-30,221,225.7,190.06,213.65,185724
2025-05-31,218.15,233.95,212,227.3,80752
2025-06-30,228.2,233.6,225,230.75,68968
2025-07-31,231.7,249.35,228.15,247.5,63611
2025-08-31,245.4,247.1,237.2,243.8,57846
2025-09-30,243.55,252.45,240.8,250.85,61052
2025-10-31,249.95,262.4,245.7,261.9,104485
2025-11-30,261.85,263.65,252,258.2,26250
