Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2015-01-31,5.5105,5.7076,5.4486,5.5771
2015-02-28,5.579,5.7233,5.4934,5.7197
2015-03-31,5.72,5.9041,5.5248,5.62447
2015-04-30,5.6245,5.6528,5.4961,5.5306
2015-05-31,5.5316,5.8824,5.4246,5.7228
2015-06-30,5.7212,5.9969,5.6336,5.91051
2015-07-31,5.9104,5.9647,5.7704,5.891
2015-08-31,5.9011,6.0074,5.7267,5.7914
2015-09-30,5.7913,5.8407,5.70076,5.74837
2015-10-31,5.7484,6.0009,5.6567,5.95906
2015-11-30,5.9484,6.0928,5.912,6.08272
2015-12-31,6.08297,6.09275,5.72023,5.78503
2016-01-31,5.79383,5.92751,5.74374,5.81348
2016-02-29,5.81926,5.85928,5.50157,5.5674
2016-03-31,5.5665,5.6314,5.34485,5.35577
2016-04-30,5.35575,5.69387,5.25985,5.58192
2016-05-31,5.57261,5.8343,5.53064,5.70885
2016-06-30,5.70877,5.76382,5.22678,5.23324
2016-07-31,5.23331,5.34416,5.14731,5.15911
2016-08-31,5.16177,5.17419,4.89231,5.13778
2016-09-30,5.13785,5.22107,4.93587,4.95664
2016-10-31,4.94783,4.95094,4.55558,4.80357
2016-11-30,4.80293,5.26467,4.74965,5.26088
2016-12-31,5.26088,5.40589,5.09332,5.15776
2017-01-31,5.17748,5.20777,4.94935,5.03538
2017-02-28,5.0355,5.1128,4.95196,5.03998
2017-03-31,5.0401,5.05219,4.85512,4.96849
2017-04-30,4.98113,5.12211,4.92196,5.02455
2017-05-31,4.99253,5.04214,4.76881,4.78877
2017-06-30,4.78858,4.85513,4.72498,4.82612
2017-07-31,4.82439,4.85225,4.68795,4.74765
2017-08-31,4.74692,4.76954,4.58028,4.60636
2017-09-30,4.60655,4.94117,4.59687,4.88974
2017-10-31,4.88519,4.9035,4.69449,4.8344
2017-11-30,4.83453,4.84778,4.67903,4.77668
2017-12-31,4.77746,4.84122,4.69465,4.69867
2018-01-31,4.69836,4.77645,4.65141,4.7497
2018-02-28,4.7495,4.77891,4.66161,4.71139
2018-03-31,4.71139,4.8647,4.67394,4.79908
2018-04-30,4.79417,4.87355,4.74004,4.83177
2018-05-31,4.8317,4.9888,4.79649,4.90676
2018-06-30,4.90648,4.95667,4.81964,4.94415
2018-07-31,4.94265,4.98883,4.78288,4.79966
2018-08-31,4.79986,4.86628,4.69144,4.80498
2018-09-30,4.79175,4.85672,4.74925,4.80551
2018-10-31,4.80375,4.95115,4.79795,4.9008
2018-11-30,4.90083,4.95875,4.80734,4.83235
2018-12-31,4.82097,4.82982,4.72471,4.77138
2019-01-31,4.76767,4.97538,4.71729,4.88117
2019-02-28,4.88106,5.0584,4.85628,5.01989
2019-03-31,5.01773,5.07482,4.91113,5.00176
2019-04-30,4.994,5.05215,4.92309,4.98259
2019-05-31,4.9822,5.0431,4.82749,4.8454
2019-06-30,4.84521,4.85299,4.72782,4.7412
2019-07-31,4.74122,4.78034,4.66598,4.70942
2019-08-31,4.70941,4.85748,4.63774,4.84282
2019-09-30,4.83973,4.98248,4.76979,4.92976
2019-10-31,4.93025,4.9947,4.78194,4.94341
2019-11-30,4.94332,5.08092,4.92038,5.06538
2019-12-31,5.05476,5.17877,4.96552,5.03043
2020-01-31,5.03004,5.12813,4.90656,5.11595
2020-02-29,5.10871,5.16022,4.99253,5.02856
2020-03-31,5.01559,5.1687,4.73535,5.13727
2020-04-30,5.13843,5.25382,5.11178,5.22733
2020-05-31,5.22743,5.22851,4.91136,4.94922
2020-06-30,4.92599,5.01769,4.85998,4.9087
2020-07-31,4.90885,5.00611,4.80534,4.90269
2020-08-31,4.90752,4.94227,4.83764,4.9232
2020-09-30,4.92347,5.06787,4.79006,4.99121
2020-10-31,4.99121,5.14554,4.89311,5.12185
2020-11-30,5.118,5.13372,4.93782,5.00387
