Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2015-01-31,793.5,817.5,744,769.75
2015-02-28,770.5,818.95,763,818.6
2015-03-31,818.4,833,725.75,736
2015-04-30,736.5,788.25,735,777.75
2015-05-31,779.73,803.55,770.17,777.2
2015-06-30,776.09,779.74,665,674.63
2015-07-31,673.82,704.03,597.78,612.2
2015-08-31,615.9,627.9,522.03,600.63
2015-09-30,596.57,676.4,569.45,652.9
2015-10-31,652.95,722.45,651.3,676.05
2015-11-30,673,673,526.5,541.22
2015-12-31,542.72,573.25,521.97,562
2016-01-31,556.35,558.55,453.32,498.2
2016-02-29,501.45,530.29,481.1,494.3
2016-03-31,494.34,607.11,493.9,563.8
2016-04-30,564.95,634.95,533.4,627.5
2016-05-31,624.3,630.11,524.99,546.92
2016-06-30,546.93,600.07,528.68,600.07
2016-07-31,599.42,714.32,591.88,709.55
2016-08-31,712.19,742.75,668.54,673.18
2016-09-30,672.61,725.58,652.25,722.5
2016-10-31,721.33,724.95,611.98,620.88
2016-11-30,621.58,774.95,616.25,769.92
2016-12-31,770.25,774.86,652.75,679.44
2017-01-31,686.4,796.45,682.77,754.13
2017-02-28,755.11,795,744.36,771.8
2017-03-31,772.13,815.82,741.86,797.04
2017-04-30,798.54,831.6,773.72,828.46
2017-05-31,827.89,829.85,752.07,819.82
2017-06-30,820.11,921.85,813.36,844.19
2017-07-31,845.64,897.01,830.31,886.98
2017-08-31,887.55,948.79,869.39,938.44
2017-09-30,938.77,999.59,904,938.06
2017-10-31,938.74,1008.97,907.65,980.55
2017-11-30,983.95,1031.23,977.43,1009.91
2017-12-31,1011.13,1072.31,984.58,1063
2018-01-31,1065.9,1137.32,1026.31,1031.1
2018-02-28,1031.95,1065.45,961.08,1043.62
2018-03-31,1044.82,1045.71,944.43,949.85
2018-04-30,953.9,1056.34,900.51,967.35
2018-05-31,967.96,1008.48,943.86,989.72
2018-06-30,988.15,1030.36,932.57,952.08
2018-07-31,955.77,967.661,863.85,934.55
2018-08-31,933.85,986.63,837.01,983.82
2018-09-30,983.55,1095.18,956.44,1076.21
2018-10-31,1076.36,1150.61,1045.44,1081.43
2018-11-30,1080.94,1203.52,1078.95,1181.27
2018-12-31,1190.26,1279.85,1186.35,1261.79
2019-01-31,1268,1436.59,1257.87,1343.8
2019-02-28,1345.97,1566.7,1344.29,1546.91
2019-03-31,1548.53,1614.17,1338.11,1381.38
2019-04-30,1390.55,1462.55,1327.2,1389.68
2019-05-31,1388.79,1388.79,1269.39,1325.65
2019-06-30,1328.66,1567.04,1319.63,1541.02
2019-07-31,1546.43,1601.82,1501.21,1519.73
2019-08-31,1519.22,1545.85,1384.77,1530.1
2019-09-30,1532.91,1701.44,1522.02,1676.48
2019-10-31,1677.08,1822.83,1636.21,1796.2
2019-11-30,1797.03,1846.49,1686.44,1841.67
2019-12-31,1840.01,1999.6,1826.59,1945.8
2020-01-31,1946.09,2575.42,1942.77,2288.95
2020-02-29,2283.02,2883,2273.07,2591.54
2020-03-31,2567.21,2676.66,1521.2,2357.8
2020-04-30,2344.68,2381.06,1868.17,1975.5
2020-05-31,1980.07,2109.02,1765.2,1938
2020-06-30,1936.1,2031.23,1835.76,1941.92
2020-07-31,1940,2343.95,1890,2092.04
2020-08-31,2088.65,2302.66,2062.25,2248.06
2020-09-30,2245.99,2413.91,2189.23,2310.78
2020-10-31,2309.45,2473.52,2188.96,2216.89
2020-11-30,2230.23,2502.8,2201.38,2382.36
2020-12-31,2381.7,2461.6,2265,2451.5
2021-01-31,2460.53,2508.5,2214.13,2230.48
2021-02-28,2241.18,2485.18,2222.35,2323.45
2021-03-31,2332.82,2748.74,2287.34,2627.14
2021-04-30,2623,3000.53,2613.75,2937.3
2021-05-31,2942.72,3018.25,2730.21,2831.5
2021-06-30,2832.79,2870.97,2460.84,2783.85
2021-07-31,2785.13,2879.52,2579.15,2662.56
2021-08-31,2668.44,2704.82,2271.63,2468.07
2021-09-30,2471.84,2495.75,1848.66,1912.35
2021-10-31,1905.63,2196.66,1850.35,1995.63
2021-11-30,1998,2213.6,1708.25,1738.89
2021-12-31,1743.25,2018.87,1547.42,1906.69
2022-01-31,1903.25,2448.02,1822.9,2353.06
2022-02-28,2336.13,2709.83,2184.29,2495.56
2022-03-31,2498,3425.53,2037.38,2263.35
2022-04-30,2269.13,2545.17,2082.72,2319.05
2022-05-31,2318.16,2327.18,1874.12,2002
2022-06-30,1998.7,2107.73,1792.24,1938.22
