CD_Projekt_Red;kurs_GBP_PLN;Pallad;ETF_SP500
0,178922826;0,010801968;-0,030468906;0,015045785
-0,080786732;-0,008098477;0,012069245;0,001456423
0,022176911;0,018441252;-0,09414664;-0,053637033
0,131634181;0,006788627;0,018256297;0,043849287
0,165158712;0,015400986;0,022861701;0,077376578
0,094547604;0,007591213;-0,03877301;0,023956473
0,199407222;-0,029659977;-0,018583935;-0,001098736
0,042124926;0,001107798;0,051377823;0,054117004
-0,095168144;0,000110296;0,089757935;-0,001624194
-0,168190933;0,019635281;0,004838629;-0,033444298
-0,107300446;-0,014065565;0,088305892;0,002081814
0,023641169;-0,012697321;0,065941217;-0,102540523
